feature_set,n_train_other,n_train_finetune,n_test,finetune_subset_label,user_cutoff,train_all_p5_cutoff,train_finetune_p5_cutoff,median_similarity_to_train_all,median_similarity_to_train_finetune,mean_topk_similarity_to_train_all,mean_topk_similarity_to_train_finetune,delta_mean_topk_finetune_minus_all,fine_tuning_preferred,output_subdir,n_outside_ad_user_cutoff_all,pct_outside_ad_user_cutoff_all,n_outside_ad_user_cutoff_finetune,pct_outside_ad_user_cutoff_finetune,n_outside_ad_train_all_p5,pct_outside_ad_train_all_p5,n_outside_ad_train_finetune_p5,pct_outside_ad_train_finetune_p5,is_best
avalon_b1024,0,3751,782,openadmet_expansion_train,0.4,0.786467581987381,0.786467581987381,0.8462347984313965,0.8462347984313965,0.7928426265716553,0.7928426265716553,0.0,False,AD_expansion_hlm/avalon_b1024,0,0.0,0,0.0,209,26.726342710997443,209,26.726342710997443,False
rdkit_path_min4_max7_b2048,0,3751,782,openadmet_expansion_train,0.4,0.7100733518600464,0.7100733518600464,0.7722821235656738,0.7722821235656738,0.7135784029960632,0.7135784029960632,0.0,False,AD_expansion_hlm/rdkit_path_min4_max7_b2048,1,0.1278772378516624,1,0.1278772378516624,254,32.48081841432225,254,32.48081841432225,False
chemeleon+rdkit_path_min4_max8_b2048,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.845025360584259,0.845025360584259,0.8705240488052368,0.8705240488052368,0.8405918478965759,0.8405918478965759,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min4_max8_b2048,1,0.1278772378516624,1,0.1278772378516624,259,33.12020460358056,259,33.12020460358056,False
rdkit_path_min3_max7_b2048,0,3751,782,openadmet_expansion_train,0.4,0.7224124670028687,0.7224124670028687,0.7771220207214355,0.7771220207214355,0.7224065661430359,0.7224065661430359,0.0,False,AD_expansion_hlm/rdkit_path_min3_max7_b2048,1,0.1278772378516624,1,0.1278772378516624,264,33.75959079283887,264,33.75959079283887,False
chemeleon+rdkit_path_min3_max8_b2048,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8499819040298462,0.8499819040298462,0.8722922801971436,0.8722922801971436,0.8432816863059998,0.8432816863059998,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min3_max8_b2048,1,0.1278772378516624,1,0.1278772378516624,269,34.39897698209719,269,34.39897698209719,False
rdkit_path_min4_max7_b4096,0,3751,782,openadmet_expansion_train,0.4,0.6743921339511871,0.6743921339511871,0.7325426340103149,0.7325426340103149,0.6626090407371521,0.6626090407371521,0.0,False,AD_expansion_hlm/rdkit_path_min4_max7_b4096,16,2.0460358056265986,16,2.0460358056265986,296,37.851662404092075,296,37.851662404092075,False
rdkit_path_min3_max7_b4096,0,3751,782,openadmet_expansion_train,0.4,0.6829323172569275,0.6829323172569275,0.7357164621353149,0.7357164621353149,0.6692707538604736,0.6692707538604736,0.0,False,AD_expansion_hlm/rdkit_path_min3_max7_b4096,13,1.6624040920716112,13,1.6624040920716112,304,38.87468030690537,304,38.87468030690537,False
chemeleon+rdkit_path_min4_max8_b4096,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8139798641204834,0.8139798641204834,0.8367714881896973,0.8367714881896973,0.7904417514801025,0.7904417514801025,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min4_max8_b4096,5,0.639386189258312,5,0.639386189258312,323,41.30434782608695,323,41.30434782608695,False
morgan_r3_b2048,0,3751,782,openadmet_expansion_train,0.4,0.5555555820465088,0.5555555820465088,0.5903614163398743,0.5903614163398743,0.5028941631317139,0.5028941631317139,0.0,False,AD_expansion_hlm/morgan_r3_b2048,119,15.217391304347826,119,15.217391304347826,327,41.81585677749361,327,41.81585677749361,False
chemeleon+rdkit_path_min3_max8_b4096,0,3751,782,openadmet_expansion_train,0.6000000000000001,0.8168957829475403,0.8168957829475403,0.8383471965789795,0.8383471965789795,0.7930480241775513,0.7930480241775513,0.0,False,AD_expansion_hlm/chemeleon__rdkit_path_min3_max8_b4096,5,0.639386189258312,5,0.639386189258312,331,42.327365728900254,331,42.327365728900254,False
morgan_r3_b4096,0,3751,782,openadmet_expansion_train,0.4,0.5510033369064331,0.5510033369064331,0.5858224034309387,0.5858224034309387,0.49775430560112,0.49775430560112,0.0,False,AD_expansion_hlm/morgan_r3_b4096,124,15.856777493606138,124,15.856777493606138,331,42.327365728900254,331,42.327365728900254,False
rdkit_path_min4_max6_b1024,0,3751,782,openadmet_expansion_train,0.4,0.7557539641857147,0.7557539641857147,0.7920824289321899,0.7920824289321899,0.7369562983512878,0.7369562983512878,0.0,False,AD_expansion_hlm/rdkit_path_min4_max6_b1024,1,0.1278772378516624,1,0.1278772378516624,340,43.47826086956522,340,43.47826086956522,False
morgan_r2_b4096,0,3751,782,openadmet_expansion_train,0.4,0.6298832893371582,0.6298832893371582,0.6617551445960999,0.6617551445960999,0.5777398347854614,0.5777398347854614,0.0,False,AD_expansion_hlm/morgan_r2_b4096,37,4.731457800511509,37,4.731457800511509,340,43.47826086956522,340,43.47826086956522,False
