activity_id,molecule_chembl_id,smiles,structure_status,target_chembl_id,target_name,assay_chembl_id,document_chembl_id,data_year,standard_type,standard_relation,standard_value,standard_units,data_validity_comment,activity_comment,assay_type,assay_description,classification_text,classification_bucket
15185209,CHEMBL3304438,COc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1OC1CCN(C)CC1,smiles_found,CHEMBL613580,Liver,CHEMBL3404125,CHEMBL3400059,2015,CL,=,29.4,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
15185210,CHEMBL3303792,COc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1OCCN1CCCCC1,smiles_found,CHEMBL613580,Liver,CHEMBL3404125,CHEMBL3400059,2015,CL,=,58.4,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18160767,CHEMBL4083572,Cc1cc(-c2cnn(C)c2)cc(C2CCN(C(=O)c3cc(C(C)C)n[nH]3)C2)n1,smiles_found,CHEMBL613580,Liver,CHEMBL4035854,CHEMBL4033700,2017,CL,=,69.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18160768,CHEMBL4088737,CC(C)c1cc(C(=O)N2CC[C@@H](NC(=O)C3CC3)C2)[nH]n1,smiles_found,CHEMBL613580,Liver,CHEMBL4035854,CHEMBL4033700,2017,CL,=,12.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes,hepatic clearance in mouse liver microsomes | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18167397,CHEMBL3670082,Cn1cc(-c2cccc(N3CCc4c(sc5c4CC(C)(C)C5)C3=O)c2CO)cc(Nc2ccncn2)c1=O,smiles_found,CHEMBL613580,Liver,CHEMBL4036717,CHEMBL4033752,2017,CL,=,35.0,mL.min-1.kg-1,,,A,Hepatic clearance in mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured after 20 to 60 mins by LC-MS/MS analysis,hepatic clearance in mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured after 20 to 60 mins by lc-ms/ms analysis | | liver | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303950,CHEMBL1236677,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,44.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303951,CHEMBL4129161,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(F)c(F)c3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,34.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303952,CHEMBL4127493,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)c(F)c3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,36.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303953,CHEMBL4128885,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(OCC(F)(F)F)cc3F)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,44.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303954,CHEMBL4128732,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3cc(F)cc(OCC(F)(F)F)c3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,43.6,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303955,CHEMBL4130100,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(Cl)c(Cl)c3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,49.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303956,CHEMBL4129699,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3cccc(Br)c3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,55.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303957,CHEMBL4127633,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3cccc(-c4ccccn4)c3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,56.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303958,CHEMBL4127234,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(-c4ccccn4)cc3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,46.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303959,CHEMBL4128615,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3cc(F)cc(-c4ccccn4)c3)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,34.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
18303960,CHEMBL4128691,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(-c4ccccn4)cc3F)o2)cc1,smiles_found,CHEMBL612558,ADMET,CHEMBL4125294,CHEMBL4118269,2018,CL,=,26.0,mL.min-1.kg-1,,,A,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,hepatic clearance in cd-1 mouse liver microsomes at 1 um preincubated for 5 mins followed by nadph addition measured up to 45 mins by lc-ms/ms analysis | | admet | cl | ml.min-1.kg-1,chembl_mlm_hepatic
