,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log10_nan,hlm_value_unscaled_log10_epsilon,hlm_value_scaled,hlm_value_scaled_log10_nan,hlm_value_scaled_log10_epsilon,dataset,scaling_was_applied
16295,CHEMBL5186874,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(CC(F)F)ccc4n3)cn2)CC1,0.05,-1.3010299956639813,-1.3010299956639813,0.05,-1.3010299956639813,-1.3010299956639813,chembl_dataset,False
16296,CHEMBL5198241,C[C@@H](F)Cn1ccc2nc(Nc3cnn(C4CCN(C)CC4)c3)nc(NC3(C)CC3)c2c1=O,0.041,-1.3872161432802643,-1.3872161432802643,0.041,-1.3872161432802643,-1.3872161432802643,chembl_dataset,False
16297,CHEMBL5190750,C[C@H](F)Cn1ccc2nc(Nc3cnn(C4CCN(C)CC4)c3)nc(NC3(C)CC3)c2c1=O,0.047,-1.3279021420642825,-1.3279021420642825,0.047,-1.3279021420642825,-1.3279021420642825,chembl_dataset,False
16298,CHEMBL5193438,C[C@H](CF)n1ccc2nc(Nc3cnn(C4CCN(C)CC4)c3)nc(NC3(C)CC3)c2c1=O,0.047,-1.3279021420642825,-1.3279021420642825,0.047,-1.3279021420642825,-1.3279021420642825,chembl_dataset,False
16299,CHEMBL5188816,C[C@@H](CF)n1ccc2nc(Nc3cnn(C4CCN(C)CC4)c3)nc(NC3(C)CC3)c2c1=O,0.051,-1.2924298239020635,-1.2924298239020635,0.051,-1.2924298239020635,-1.2924298239020635,chembl_dataset,False
16300,CHEMBL5191035,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cncnc5)ccc4n3)cn2)CC1,0.038,-1.42021640338319,-1.42021640338319,0.038,-1.42021640338319,-1.42021640338319,chembl_dataset,False
16301,CHEMBL5193053,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cnn[nH]5)ccc4n3)cn2)CC1,0.02,-1.6989700043360187,-1.6989700043360187,0.02,-1.6989700043360187,-1.6989700043360187,chembl_dataset,False
16302,CHEMBL5190559,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cn(C)nn5)ccc4n3)cn2)CC1,0.049,-1.3098039199714864,-1.3098039199714864,0.049,-1.3098039199714864,-1.3098039199714864,chembl_dataset,False
16303,CHEMBL5207748,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5nnc[nH]5)ccc4n3)cn2)CC1,0.0047,-2.3279021420642825,-2.3279021420642825,0.0047,-2.3279021420642825,-2.3279021420642825,chembl_dataset,False
16304,CHEMBL5184407,CN1C[C@H]2C[C@@H]1C[C@@H]2n1cc(Nc2nc(NC3(C)CC3)c3c(=O)n(CC(F)F)ccc3n2)cn1,0.023,-1.6382721639824072,-1.6382721639824072,0.023,-1.6382721639824072,-1.6382721639824072,chembl_dataset,False
16305,CHEMBL5178692,CN1CC2(CC(n3cc(Nc4nc(NC5(C)CC5)c5c(=O)n(CC(F)F)ccc5n4)cn3)C2)C1,0.0096,-2.017728766960432,-2.017728766960432,0.0096,-2.017728766960432,-2.017728766960432,chembl_dataset,False
16306,CHEMBL5177080,C[C@H](F)Cn1ccc2nc(Nc3cnn([C@H]4C[C@H]5C[C@@H]4CN5C)c3)nc(NC3(C)CC3)c2c1=O,0.012,-1.9208187539523751,-1.9208187539523751,0.012,-1.9208187539523751,-1.9208187539523751,chembl_dataset,False
16307,CHEMBL5207654,C[C@H](F)Cn1ccc2nc(Nc3cnn(C4CC5(C4)CN(C)C5)c3)nc(NC3(C)CC3)c2c1=O,0.01,-2.0,-2.0,0.01,-2.0,-2.0,chembl_dataset,False
